n,game,algorithm,dimension,time,number of moves,number of states,won,state space,solution: car,solution: direction
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,H,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,D,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,C,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,G,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,L,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,A,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,G,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,L,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,H,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,H,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,L,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,X,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,J,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,E,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,X,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,X,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,G,1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,B,-1
1,6x6_1,depthfirst,6,20.767179,34,5830,1,,I,-1
